country	count
Canada	82
USA	796
Spain	30
Australia	40
Colombia	6
England	93
Russia	11
France	36
Mexico	9
Israel	31
Czech Republic	1
Denmark	8
Norway	4
Chile	9
Malaysia	5
Ukraine	6
India	53
Serbia	1
Thailand	2
Bulgaria	6
Brazil	56
Germany	48
Peru	1
Italy	9
South Africa	4
Ireland	7
Hong Kong	5
The Netherlands	23
Austria	4
China	6
Belgium	8
New Zealand	6
Cayman Islands	2
Singapore	9
Estonia	6
Switzerland	15
Finland	3
Taiwan	3
Japan	13
Pakistan	1
Greece	1
Sweden	11
Kenya	4
Netherlands	1
Lithuania	2
Bangladesh	1
Argentina	2
New England	1
Poland	6
Armenia	1
Indonesia	6
Lebanon	1
South Korea	4
UAE	1
Turkey	1
Nigeria	1
Nepal	1
Malmö	1
Sénégal	1
Philippines	2
Hungary	2
Luxembourg	1
Belarus	1
Zimbabwe	2
Iran	2
Romania	1
Trinidad and Tobago	1
Zambia	1
Uganda	2
